RowNr,NoteNr,TimeStamp,Pitch,Velocity,Key_OnOff,Device,SubNr,TrialNr,Stimuli,Session,Error,KOT,Interval,Subcomponent1,Subcomponent2
41,94,22227,77,78,1,2,8,1,s,pre,1,97,40,Legato,Forte
42,96,22502,76,87,1,2,8,1,s,pre,1,61,41,Legato,Forte
43,98,22781,74,88,1,2,8,1,s,pre,1,3,42,Legato,Forte
44,100,23085,76,85,1,2,8,1,s,pre,1,30,43,Legato,Forte
45,102,23348,79,91,1,2,8,1,s,pre,1,43,44,Legato,Forte
46,104,23658,74,96,1,2,8,1,s,pre,1,114,45,Legato,Forte
47,106,23916,71,91,1,2,8,1,s,pre,1,13,46,Legato,Forte
2,18,8164,78,91,1,2,8,2,s,pre,0,74,1,Legato,Forte
3,20,8478,79,88,1,2,8,2,s,pre,0,81,2,Legato,Forte
4,22,8763,76,86,1,2,8,2,s,pre,0,47,3,Legato,Forte
5,24,9072,72,87,1,2,8,2,s,pre,0,6,4,Legato,Forte
10,34,10557,78,88,1,2,8,2,s,pre,0,77,9,Legato,Forte
11,36,10858,79,91,1,2,8,2,s,pre,0,108,10,Legato,Forte
12,38,11142,76,83,1,2,8,2,s,pre,0,56,11,Legato,Forte
13,41,11455,72,76,1,2,8,2,s,pre,0,-9,12,Legato,Forte
14,42,11738,76,84,1,2,8,2,s,pre,0,54,13,Legato,Forte
15,44,12027,79,91,1,2,8,2,s,pre,0,57,14,Legato,Forte
16,46,12312,84,98,1,2,8,2,s,pre,0,10,15,Legato,Forte
17,48,12631,83,91,1,2,8,2,s,pre,0,104,16,Legato,Forte
22,58,14139,81,88,1,2,8,2,s,pre,0,33,21,Legato,Forte
23,60,14442,84,95,1,2,8,2,s,pre,0,10,22,Legato,Forte
25,65,15031,78,86,1,2,8,2,s,pre,0,-2,24,Legato,Forte
42,98,22999,76,85,1,2,8,2,s,pre,0,102,41,Legato,Forte
43,100,23282,74,91,1,2,8,2,s,pre,0,10,42,Legato,Forte
44,102,23609,76,91,1,2,8,2,s,pre,0,41,43,Legato,Forte
45,104,23887,79,94,1,2,8,2,s,pre,0,25,44,Legato,Forte
46,106,24185,74,94,1,2,8,2,s,pre,0,121,45,Legato,Forte
47,108,24478,71,80,1,2,8,2,s,pre,0,10,46,Legato,Forte
2,18,9045,78,80,1,2,9,1,s,pre,1,52,1,Legato,Forte
3,20,9291,79,91,1,2,9,1,s,pre,1,39,2,Legato,Forte
4,22,9522,76,82,1,2,9,1,s,pre,1,58,3,Legato,Forte
5,24,9754,72,76,1,2,9,1,s,pre,1,17,4,Legato,Forte
10,34,10815,78,88,1,2,9,1,s,pre,1,46,9,Legato,Forte
11,36,11033,79,87,1,2,9,1,s,pre,1,36,10,Legato,Forte
12,38,11233,76,82,1,2,9,1,s,pre,1,48,11,Legato,Forte
13,40,11441,72,84,1,2,9,1,s,pre,1,41,12,Legato,Forte
14,43,11638,76,81,1,2,9,1,s,pre,1,-6,13,Legato,Forte
15,44,11844,79,96,1,2,9,1,s,pre,1,33,14,Legato,Forte
16,46,12032,84,95,1,2,9,1,s,pre,1,40,15,Legato,Forte
17,48,12240,83,91,1,2,9,1,s,pre,1,57,16,Legato,Forte
22,58,13249,81,91,1,2,9,1,s,pre,1,63,21,Legato,Forte
23,60,13438,84,94,1,2,9,1,s,pre,1,42,22,Legato,Forte
24,62,13635,81,91,1,2,9,1,s,pre,1,72,23,Legato,Forte
25,64,13828,78,103,1,2,9,1,s,pre,1,88,24,Legato,Forte
41,94,18957,77,68,1,2,9,1,s,pre,1,40,40,Legato,Forte
42,96,19172,76,76,1,2,9,1,s,pre,1,115,41,Legato,Forte
43,98,19354,74,93,1,2,9,1,s,pre,1,51,42,Legato,Forte
44,100,19551,76,94,1,2,9,1,s,pre,1,104,43,Legato,Forte
45,102,19747,79,95,1,2,9,1,s,pre,1,52,44,Legato,Forte
46,104,19953,74,100,1,2,9,1,s,pre,1,72,45,Legato,Forte
47,106,20151,71,81,1,2,9,1,s,pre,1,52,46,Legato,Forte
2,18,8064,78,91,1,2,9,2,s,pre,1,59,1,Legato,Forte
3,20,8327,79,95,1,2,9,2,s,pre,1,44,2,Legato,Forte
4,22,8575,76,81,1,2,9,2,s,pre,1,61,3,Legato,Forte
5,24,8838,72,82,1,2,9,2,s,pre,1,24,4,Legato,Forte
10,34,10093,78,91,1,2,9,2,s,pre,1,64,9,Legato,Forte
11,36,10341,79,90,1,2,9,2,s,pre,1,57,10,Legato,Forte
12,38,10581,76,70,1,2,9,2,s,pre,1,55,11,Legato,Forte
13,40,10830,72,91,1,2,9,2,s,pre,1,47,12,Legato,Forte
14,43,11061,76,81,1,2,9,2,s,pre,1,-5,13,Legato,Forte
15,44,11312,79,99,1,2,9,2,s,pre,1,42,14,Legato,Forte
16,46,11560,84,81,1,2,9,2,s,pre,1,50,15,Legato,Forte
23,60,13025,81,91,1,2,9,2,s,pre,1,67,21,Legato,Forte
24,62,13270,84,81,1,2,9,2,s,pre,1,22,22,Legato,Forte
25,64,13482,81,96,1,2,9,2,s,pre,1,76,23,Legato,Forte
26,66,13716,78,106,1,2,9,2,s,pre,1,78,24,Legato,Forte
42,98,19446,77,81,1,2,9,2,s,pre,1,60,40,Legato,Forte
43,100,19684,76,91,1,2,9,2,s,pre,1,123,41,Legato,Forte
44,102,19893,74,100,1,2,9,2,s,pre,1,62,42,Legato,Forte
45,104,20125,76,106,1,2,9,2,s,pre,1,94,43,Legato,Forte
