expMode,trialNumber,midFile,ratingCategory,rating,RT1 (manual),RT2 (ratingScale),ratingOrder,subjectNumber,date,globalClock
experiment, 47, ./mid/low_3.mid, dynamics, 1, 1.3948283310000988, 1.38, dynamics, 2, 2020_Aug_14_1206, 2172.216270236
experiment, 47, ./mid/low_3.mid, articulation, 1, 1.383086359999652, 1.37, dynamics, 2, 2020_Aug_14_1206, 2173.6216264619998
experiment, 48, ./mid/high_2.mid, dynamics, 4, 1.121270093000021, 1.108, dynamics, 2, 2020_Aug_14_1206, 2206.532090558
experiment, 48, ./mid/high_2.mid, articulation, 4, 1.1782586379995337, 1.163, dynamics, 2, 2020_Aug_14_1206, 2207.732245067
experiment, 49, ./mid/low_13.mid, articulation, 1, 3.3850604460003524, 3.371, articulation, 2, 2020_Aug_14_1206, 2242.9315623539997
experiment, 49, ./mid/low_13.mid, dynamics, 1, 1.5160001510002985, 1.502, articulation, 2, 2020_Aug_14_1206, 2244.47001463
experiment, 50, ./mid/low_9.mid, dynamics, 1, 1.9411132000004727, 1.928, dynamics, 2, 2020_Aug_14_1206, 2277.835733866
experiment, 50, ./mid/low_9.mid, articulation, 1, 1.5108042370002295, 1.498, dynamics, 2, 2020_Aug_14_1206, 2279.3692314419995
experiment, 51, ./mid/art_12.mid, dynamics, 1, 2.0016282839997075, 1.988, dynamics, 2, 2020_Aug_14_1206, 2313.0464196989997
experiment, 51, ./mid/art_12.mid, articulation, 3, 0.5939182490001258, 0.581, dynamics, 2, 2020_Aug_14_1206, 2313.6625708399997
experiment, 52, ./mid/art_7.mid, articulation, 2, 1.3389850310004476, 1.325, articulation, 2, 2020_Aug_14_1206, 2348.6290159849996
experiment, 52, ./mid/art_7.mid, dynamics, 2, 1.1992268530002548, 1.186, articulation, 2, 2020_Aug_14_1206, 2349.8511459339998
experiment, 53, ./mid/dyn_11.mid, articulation, 1, 6.689000522000242, 6.675, articulation, 2, 2020_Aug_14_1206, 2388.2449538640003
experiment, 53, ./mid/dyn_11.mid, dynamics, 3, 1.2493621749999875, 1.236, articulation, 2, 2020_Aug_14_1206, 2389.517069742
experiment, 54, ./mid/high_6.mid, articulation, 3, 1.5700794799995492, 1.556, articulation, 2, 2020_Aug_14_1206, 2423.1942399560003
experiment, 54, ./mid/high_6.mid, dynamics, 2, 2.6152907410005355, 2.601, articulation, 2, 2020_Aug_14_1206, 2425.832472829
experiment, 55, ./mid/high_9.mid, articulation, 5, 2.0808674519994383, 2.067, articulation, 2, 2020_Aug_14_1206, 2459.6985466099995
experiment, 55, ./mid/high_9.mid, dynamics, 4, 1.6878053800000998, 1.674, articulation, 2, 2020_Aug_14_1206, 2461.4094180310003
experiment, 56, ./mid/dyn_16.mid, articulation, 1, 2.3659764920003, 2.353, articulation, 2, 2020_Aug_14_1206, 2495.558619933
experiment, 56, ./mid/dyn_16.mid, dynamics, 3, 0.7318343990000358, 0.718, articulation, 2, 2020_Aug_14_1206, 2496.314326961
experiment, 57, ./mid/low_10.mid, dynamics, 1, 1.6538981670000794, 1.639, dynamics, 2, 2020_Aug_14_1206, 2529.8585918589997
experiment, 57, ./mid/low_10.mid, articulation, 1, 1.3157199790002778, 1.302, dynamics, 2, 2020_Aug_14_1206, 2531.1969900389995
experiment, 58, ./mid/high_4.mid, articulation, 4, 7.214399150000645, 7.201, articulation, 2, 2020_Aug_14_1206, 2569.812648121
experiment, 58, ./mid/high_4.mid, dynamics, 3, 0.610253855999872, 0.596, articulation, 2, 2020_Aug_14_1206, 2570.4459810319995
experiment, 59, ./mid/dyn_13.mid, dynamics, 2, 1.9117673649998324, 1.898, dynamics, 2, 2020_Aug_14_1206, 2604.340213945
experiment, 59, ./mid/dyn_13.mid, articulation, 1, 1.4940096360005555, 1.48, dynamics, 2, 2020_Aug_14_1206, 2605.8567614800004
experiment, 60, ./mid/dyn_5.mid, dynamics, 2, 3.234934930000236, 3.221, dynamics, 2, 2020_Aug_14_1206, 2640.1891510389996
experiment, 60, ./mid/dyn_5.mid, articulation, 1, 1.558281771000111, 1.553, dynamics, 2, 2020_Aug_14_1206, 2641.7699554539995
experiment, 61, ./mid/high_1.mid, articulation, 2, 1.9122447720001219, 1.898, articulation, 2, 2020_Aug_14_1206, 2675.055339191
experiment, 61, ./mid/high_1.mid, dynamics, 2, 1.1157541510001465, 1.085, articulation, 2, 2020_Aug_14_1206, 2676.194105998
experiment, 62, ./mid/dyn_4.mid, articulation, 1, 2.1279738699995505, 2.114, articulation, 2, 2020_Aug_14_1206, 2709.4039883899995
experiment, 62, ./mid/dyn_4.mid, dynamics, 2, 1.5112755670006663, 1.498, articulation, 2, 2020_Aug_14_1206, 2710.937532737
experiment, 63, ./mid/high_13.mid, articulation, 4, 1.181701903999965, 1.167, articulation, 2, 2020_Aug_14_1206, 2744.503652937
experiment, 63, ./mid/high_13.mid, dynamics, 4, 1.2987465679998422, 1.268, articulation, 2, 2020_Aug_14_1206, 2745.825587006
experiment, 64, ./mid/art_13.mid, dynamics, 3, 0.5727888819992586, 0.559, dynamics, 2, 2020_Aug_14_1206, 2778.919134805
experiment, 64, ./mid/art_13.mid, articulation, 3, 2.0600690999999642, 2.049, dynamics, 2, 2020_Aug_14_1206, 2781.002117622
